pbp_id,period,pbp_order,wall_clock_int,description,points,msg_type,action_type,player_id_1,player_id_2,player_id_3,traditional_off_lineup,enhanced_off_lineup,trad_lineup_status,enh_lineup_status
9,1,4,403390,Thompson 3PT Jump Shot (3 PTS) (Eason 1 AST),3,1,1,1641708.0,1631106.0,,"[1628415, 1630224, 1630578, 1631106, 1641708]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
25,1,15,404330,Sengun 18' Jump Shot (2 PTS) (Ja. Green 1 AST),2,1,1,1630578.0,1630224.0,,"[1628415, 1630224, 1630578, 1631106, 1641708]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
33,1,21,404730,Ja. Green 2' Driving Layup (2 PTS),2,1,6,1630224.0,,,"[1628415, 1630224, 1630578, 1631106, 1641708]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
55,1,37,408260,Ja. Green 25' 3PT Pullup Jump Shot (5 PTS),3,1,79,1630224.0,,,"[1628415, 1630224, 1630578, 1631106, 1641708]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
68,1,46,409010,Ja. Green Free Throw 2 of 2 (6 PTS),1,3,12,1630224.0,,,"[1628415, 1630224, 1630578, 1631106, 1641708]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
70,1,48,409300,Whitmore 1' Driving Dunk (2 PTS),2,1,9,1641715.0,,,"[1628415, 1630224, 1630578, 1631106, 1641708]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
80,1,56,410770,Thompson 1' Cutting Dunk Shot (5 PTS) (Sengun 1 AST),2,1,108,1641708.0,1630578.0,,"[1628415, 1630224, 1630578, 1631106, 1641708]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
109,1,76,412930,Ja. Green 10' Fadeaway Jumper (8 PTS),2,1,63,1630224.0,,,"[1630224, 1630578, 1631106, 1641708]","[1630224, 1630578, 1631106, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
123,1,87,415780,Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST),3,1,1,1628415.0,1630256.0,,"[1630224, 1630578, 1631106, 1641708]","[1630224, 1630256, 1630578, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
159,2,110,419470,Whitmore Free Throw 1 of 3 (3 PTS),1,3,13,1641715.0,,,"[1630224, 1630578, 1631106, 1641708]","[203500, 1628415, 1630256, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
160,2,111,419620,Whitmore Free Throw 2 of 3 (4 PTS),1,3,14,1641715.0,,,"[1630224, 1630578, 1631106, 1641708]","[203500, 1628415, 1630256, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
161,2,112,419780,Whitmore Free Throw 3 of 3 (5 PTS),1,3,15,1641715.0,,,"[1630224, 1630578, 1631106, 1641708]","[203500, 1628415, 1630256, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
186,2,133,421250,Irving Free Throw Technical (1 PTS),1,3,16,202681.0,,,"[1630224, 1630578, 1631106, 1641708]","[203500, 1628415, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
201,2,147,422680,Eason Free Throw 1 of 2 (1 PTS),1,3,11,1631106.0,,,"[1630224, 1630578, 1631106, 1641708]","[203500, 1628415, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
206,2,150,422880,Eason Free Throw 2 of 2 (2 PTS),1,3,12,1631106.0,,,"[203500, 1630224, 1630256, 1631106]","[203500, 1630256, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
214,2,157,424480,Sheppard Free Throw Technical (1 PTS),1,3,16,1642263.0,,,"[203500, 1630224, 1630256, 1631106]","[203500, 1630256, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
224,2,165,425240,Thompson 21' Jump Shot (7 PTS) (Whitmore 1 AST),2,1,1,1641708.0,1641715.0,,"[203500, 1630224, 1630256, 1631106]","[203500, 1630256, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
241,2,176,426790,Sengun Free Throw 2 of 2 (3 PTS),1,3,12,1630578.0,,,"[203500, 1630256, 1631106, 1641715]","[203500, 1630256, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
244,2,179,427040,Sheppard 14' Running Pull-Up Jump Shot (3 PTS),2,1,103,1642263.0,,,"[203500, 1630256, 1631106, 1641715]","[203500, 1630256, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
258,2,188,429840,Brooks Free Throw 2 of 2 (4 PTS),1,3,12,1628415.0,,,"[203500, 1630256, 1631106, 1641715]","[203500, 1630256, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
288,2,212,433950,Eason 21' Pullup Jump Shot (4 PTS) (Sengun 2 AST),2,1,79,1631106.0,1630578.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630256, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
292,2,215,434230,Ja. Green 2' Running Layup (10 PTS),2,1,41,1630224.0,,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630578, 1631106, 1641715, 1642263]",HAS_LINEUP,HAS_LINEUP
295,2,218,434490,Ja. Green 26' 3PT Pullup Jump Shot (13 PTS),3,1,79,1630224.0,,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1642263]",HAS_LINEUP,HAS_LINEUP
311,2,231,436660,Ja. Green 25' 3PT Jump Shot (16 PTS) (Thompson 1 AST),3,1,1,1630224.0,1641708.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1642263]",HAS_LINEUP,HAS_LINEUP
324,2,240,437680,Sengun 16' Jump Shot (5 PTS) (Thompson 2 AST),2,1,1,1630578.0,1641708.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1642263]",HAS_LINEUP,HAS_LINEUP
327,2,242,438130,Thompson Alley Oop Dunk (9 PTS) (Ja. Green 2 AST),2,1,52,1641708.0,1630224.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1642263]",HAS_LINEUP,HAS_LINEUP
331,2,244,438510,Thompson 1' Alley Oop Dunk (11 PTS) (Sengun 3 AST),2,1,52,1641708.0,1630578.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
348,3,252,448190,Sengun 9' Hook Shot (7 PTS) (Adams 1 AST),2,1,3,1630578.0,203500.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
358,3,259,448950,Thompson 3PT Jump Shot (14 PTS) (Brooks 1 AST),3,1,1,1641708.0,1628415.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
366,3,264,449510,Sengun 15' Jump Shot (9 PTS) (Ja. Green 3 AST),2,1,1,1630578.0,1630224.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
384,3,277,450750,Brooks 3PT Jump Shot (7 PTS) (Ja. Green 4 AST),3,1,1,1628415.0,1630224.0,,"[203500, 1630256, 1641715, 1642263]","[203500, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
388,3,280,451070,Sengun 5' Driving Hook Shot (11 PTS),2,1,57,1630578.0,,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
396,3,286,453520,Sengun Free Throw 1 of 2 (12 PTS),1,3,11,1630578.0,,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
