period,time_order,team_abbrev,flag_type,player_name,description
1,332.0,DAL,inactivity_periods,Kyrie Irving,Player inactive for 172.0s (threshold: 120s)
1,332.0,DAL,inactivity_periods,P.J. Washington,Player inactive for 254.0s (threshold: 120s)
1,332.0,HOU,inactivity_periods,Tari Eason,Player inactive for 231.0s (threshold: 120s)
1,332.0,HOU,inactivity_periods,Amen Thompson,Player inactive for 177.0s (threshold: 120s)
1,460.0,DAL,inactivity_periods,Dante Exum,Player inactive for 128.0s (threshold: 120s)
1,460.0,DAL,inactivity_periods,Max Christie,Player inactive for 128.0s (threshold: 120s)
1,460.0,HOU,inactivity_periods,Tari Eason,Player inactive for 359.0s (threshold: 120s)
1,588.0,DAL,inactivity_periods,Dante Exum,Player inactive for 256.0s (threshold: 120s)
1,588.0,DAL,inactivity_periods,Spencer Dinwiddie,Player inactive for 153.0s (threshold: 120s)
1,683.2,HOU,inactivity_periods,Jalen Green,Player inactive for 148.2s (threshold: 120s)
2,747.0,DAL,missing_sub_in,Klay Thompson,Thompson 2' Driving Finger Roll Layup (6 PTS) (Christie 1 AST)
2,777.0,HOU,missing_sub_in,Tari Eason,MISS Eason 5' Driving Floating Jump Shot
2,779.0,HOU,missing_sub_in,Reed Sheppard,Sheppard REBOUND (Off:1 Def:0)
2,795.0,HOU,inactivity_periods,Cam Whitmore,Player inactive for 136.0s (threshold: 120s)
2,839.0,HOU,missing_sub_in,Jae'Sean Tate,MISS Tate 4' Driving Dunk
2,871.0,DAL,inactivity_periods,Max Christie,Player inactive for 141.0s (threshold: 120s)
2,871.0,DAL,inactivity_periods,Dante Exum,Player inactive for 166.8s (threshold: 120s)
2,871.0,HOU,inactivity_periods,Dillon Brooks,Player inactive for 169.3s (threshold: 120s)
2,874.0,HOU,missing_sub_in,Cam Whitmore,MISS Whitmore 25' 3PT Running Jump Shot
2,918.0,DAL,inactivity_periods,Max Christie,Player inactive for 188.0s (threshold: 120s)
2,918.0,DAL,inactivity_periods,Dante Exum,Player inactive for 213.8s (threshold: 120s)
2,918.0,HOU,inactivity_periods,Dillon Brooks,Player inactive for 216.3s (threshold: 120s)
2,944.0,HOU,missing_sub_in,Reed Sheppard,Sheppard S.FOUL (P1.T2) (J.Schroeder)
2,962.0,DAL,missing_sub_in,P.J. Washington,Washington S.FOUL (P1.PN) (J.Schroeder)
2,1018.0,DAL,inactivity_periods,Kyrie Irving,Player inactive for 151.0s (threshold: 120s)
2,1153.0,HOU,inactivity_periods,Amen Thompson,Player inactive for 221.0s (threshold: 120s)
2,1153.0,HOU,inactivity_periods,Jalen Green,Player inactive for 135.0s (threshold: 120s)
2,1153.0,HOU,inactivity_periods,Alperen Sengun,Player inactive for 235.0s (threshold: 120s)
2,1153.0,HOU,inactivity_periods,Dillon Brooks,Player inactive for 191.0s (threshold: 120s)
2,1266.0,DAL,inactivity_periods,Spencer Dinwiddie,Player inactive for 144.0s (threshold: 120s)
2,1266.0,HOU,inactivity_periods,Amen Thompson,Player inactive for 334.0s (threshold: 120s)
2,1403.9,DAL,inactivity_periods,Naji Marshall,Player inactive for 250.9s (threshold: 120s)
2,1403.9,DAL,inactivity_periods,Kyrie Irving,Player inactive for 138.9s (threshold: 120s)
2,1403.9,HOU,inactivity_periods,Tari Eason,Player inactive for 206.9s (threshold: 120s)
2,1403.9,HOU,inactivity_periods,Dillon Brooks,Player inactive for 222.9s (threshold: 120s)
3,1479.0,HOU,missing_sub_in,Steven Adams,Adams REBOUND (Off:3 Def:2)
3,1538.0,DAL,missing_sub_in,Max Christie,Christie 16' Step Back Jump Shot (10 PTS) (Davis 6 AST)
3,1551.0,DAL,inactivity_periods,Anthony Davis,Player inactive for 160.7s (threshold: 120s)
3,1551.0,DAL,inactivity_periods,P.J. Washington,Player inactive for 181.0s (threshold: 120s)
3,1551.0,HOU,inactivity_periods,Jalen Green,Player inactive for 215.0s (threshold: 120s)
3,1606.0,HOU,missing_sub_in,Dillon Brooks,MISS Brooks 9' Driving Floating Jump Shot
3,1670.0,DAL,inactivity_periods,P.J. Washington,Player inactive for 300.0s (threshold: 120s)
3,1761.0,DAL,missing_sub_in,Kyrie Irving,MISS Irving 3' Driving Finger Roll Layup
3,1819.0,DAL,inactivity_periods,Anthony Davis,Player inactive for 130.0s (threshold: 120s)
3,1819.0,DAL,inactivity_periods,Max Christie,Player inactive for 168.0s (threshold: 120s)
3,1959.0,DAL,inactivity_periods,Dante Exum,Player inactive for 258.0s (threshold: 120s)
3,1959.0,DAL,inactivity_periods,Spencer Dinwiddie,Player inactive for 140.0s (threshold: 120s)
3,1959.0,HOU,inactivity_periods,Jalen Green,Player inactive for 193.0s (threshold: 120s)
3,2063.0,DAL,inactivity_periods,Naji Marshall,Player inactive for 131.0s (threshold: 120s)
3,2063.0,DAL,inactivity_periods,Dante Exum,Player inactive for 362.0s (threshold: 120s)
3,2063.0,HOU,inactivity_periods,Tari Eason,Player inactive for 148.0s (threshold: 120s)
3,2063.0,HOU,inactivity_periods,Dillon Brooks,Player inactive for 174.0s (threshold: 120s)
4,2206.0,HOU,missing_sub_in,Steven Adams,Adams REBOUND (Off:7 Def:3)
4,2208.0,DAL,inactivity_periods,Daniel Gafford,Player inactive for 145.0s (threshold: 120s)
4,2208.0,DAL,inactivity_periods,Spencer Dinwiddie,Player inactive for 157.0s (threshold: 120s)
4,2208.0,HOU,inactivity_periods,Alperen Sengun,Player inactive for 184.0s (threshold: 120s)
4,2234.0,DAL,missing_sub_in,Klay Thompson,Thompson REBOUND (Off:0 Def:4)
4,2269.0,HOU,missing_sub_in,Amen Thompson,MISS Thompson 3' Driving Finger Roll Layup
4,2301.0,DAL,missing_sub_in,Spencer Dinwiddie,MISS Dinwiddie 7' Driving Finger Roll Layup
4,2327.0,DAL,inactivity_periods,Max Christie,Player inactive for 232.0s (threshold: 120s)
4,2327.0,HOU,inactivity_periods,Tari Eason,Player inactive for 125.0s (threshold: 120s)
4,2515.0,DAL,inactivity_periods,Kyrie Irving,Player inactive for 135.0s (threshold: 120s)
4,2515.0,HOU,inactivity_periods,Dillon Brooks,Player inactive for 121.0s (threshold: 120s)
4,2673.0,DAL,inactivity_periods,Kyrie Irving,Player inactive for 293.0s (threshold: 120s)
4,2756.0,HOU,inactivity_periods,Alperen Sengun,Player inactive for 180.0s (threshold: 120s)
4,2813.0,DAL,inactivity_periods,Naji Marshall,Player inactive for 123.0s (threshold: 120s)
4,2813.0,DAL,inactivity_periods,Daniel Gafford,Player inactive for 121.0s (threshold: 120s)
