Player ID,Player Name,Team,Offensive possessions played,Defensive possessions played,Opponent rim field goal percentage when player is on the court,Opponent rim field goal percentage when player is off the court,Opponent rim field goal percentage on/off difference (on-off)
203076,Anthony Davis,DAL,83,87,0.333,0.667,-0.333
1629655,Daniel Gafford,DAL,86,93,0.562,0.273,0.29
203957,Dante Exum,DAL,25,25,0.286,0.5,-0.214
202691,Klay Thompson,DAL,133,141,0.444,0.0,0.0
202681,Kyrie Irving,DAL,38,42,0.556,0.389,0.167
1631108,Max Christie,DAL,24,30,0.5,0.44,0.06
1629023,P.J. Washington,DAL,130,135,0.444,0.0,0.0
203915,Spencer Dinwiddie,DAL,51,55,0.444,0.444,0.0
1628988,Aaron Holiday,HOU,31,29,1.0,0.667,0.333
1630578,Alperen Sengun,HOU,44,42,0.857,0.583,0.274
1641708,Amen Thompson,HOU,75,71,0.9,0.444,0.456
1641715,Cam Whitmore,HOU,69,64,0.5,0.889,-0.389
1628415,Dillon Brooks,HOU,37,37,0.875,0.545,0.33
1630256,Jae'Sean Tate,HOU,97,91,0.583,0.857,-0.274
1630224,Jalen Green,HOU,47,46,0.857,0.583,0.274
1642263,Reed Sheppard,HOU,85,79,0.556,0.8,-0.244
203500,Steven Adams,HOU,84,81,0.545,0.875,-0.33
1631106,Tari Eason,HOU,68,64,0.8,0.556,0.244
