period,time_order,team_abbrev,flag_type,player_name,description,flag_details
1,332.0,DAL,sub_out_player_not_in_lineup,Dante Exum,Attempted to sub out Dante Exum who is not in lineup,Attempted to sub out Dante Exum who is not in lineup
1,332.0,DAL,sub_in_player_already_in_lineup,Daniel Gafford,Attempted to sub in Daniel Gafford who is already in lineup,Attempted to sub in Daniel Gafford who is already in lineup
1,332.0,DAL,sub_out_player_not_in_lineup,Max Christie,Attempted to sub out Max Christie who is not in lineup,Attempted to sub out Max Christie who is not in lineup
1,332.0,DAL,sub_in_player_already_in_lineup,Klay Thompson,Attempted to sub in Klay Thompson who is already in lineup,Attempted to sub in Klay Thompson who is already in lineup
1,332.0,HOU,sub_out_player_not_in_lineup,Cam Whitmore,Attempted to sub out Cam Whitmore who is not in lineup,Attempted to sub out Cam Whitmore who is not in lineup
1,332.0,HOU,sub_in_player_already_in_lineup,Dillon Brooks,Attempted to sub in Dillon Brooks who is already in lineup,Attempted to sub in Dillon Brooks who is already in lineup
1,361.0,HOU,action_by_non_lineup_player,Cam Whitmore,Player Cam Whitmore had action but not in lineup: Whitmore 1' Driving Dunk (2 PTS),Player Cam Whitmore had action but not in lineup: Whitmore 1' Driving Dunk (2 PTS)
1,410.0,DAL,sub_out_player_not_in_lineup,Spencer Dinwiddie,Attempted to sub out Spencer Dinwiddie who is not in lineup,Attempted to sub out Spencer Dinwiddie who is not in lineup
1,410.0,DAL,sub_in_player_already_in_lineup,Kyrie Irving,Attempted to sub in Kyrie Irving who is already in lineup,Attempted to sub in Kyrie Irving who is already in lineup
1,435.0,DAL,action_by_non_lineup_player,Spencer Dinwiddie,Player Spencer Dinwiddie had action but not in lineup: Dinwiddie OFF.Foul (P1) (J.Schroeder),Player Spencer Dinwiddie had action but not in lineup: Dinwiddie OFF.Foul (P1) (J.Schroeder)
1,435.0,DAL,action_by_non_lineup_player,Spencer Dinwiddie,Player Spencer Dinwiddie had action but not in lineup: Dinwiddie Offensive Foul Turnover (P1.T1),Player Spencer Dinwiddie had action but not in lineup: Dinwiddie Offensive Foul Turnover (P1.T1)
1,435.0,DAL,sub_out_player_not_in_lineup,Naji Marshall,Attempted to sub out Naji Marshall who is not in lineup,Attempted to sub out Naji Marshall who is not in lineup
1,435.0,DAL,sub_in_player_already_in_lineup,P.J. Washington,Attempted to sub in P.J. Washington who is already in lineup,Attempted to sub in P.J. Washington who is already in lineup
1,460.0,DAL,action_by_non_lineup_player,Naji Marshall,Player Naji Marshall had action but not in lineup: Marshall 1' Driving Layup (2 PTS),Player Naji Marshall had action but not in lineup: Marshall 1' Driving Layup (2 PTS)
1,488.0,DAL,action_by_non_lineup_player,Naji Marshall,Player Naji Marshall had action but not in lineup: Marshall 4' Running Layup (4 PTS) (Exum 1 AST),Player Naji Marshall had action but not in lineup: Marshall 4' Running Layup (4 PTS) (Exum 1 AST)
