period,pbp_order,abs_time,team_id,team_abbrev,flag_type,player_id,player_name,idle_seconds,description,resolved_via_last_name,sub_direction_inverted,lineup_json
1,15,131.0,1610612742,DAL,possible_missing_sub_out,202681,Kyrie Irving,131.0,Sengun 18' Jump Shot (2 PTS) (Ja. Green 1 AST),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,15,131.0,1610612745,HOU,possible_missing_sub_out,1630224,Jalen Green,131.0,Sengun 18' Jump Shot (2 PTS) (Ja. Green 1 AST),false,false,"[1628415, 1630224, 1630578, 1631106, 1641708]"
1,15,131.0,1610612745,HOU,possible_missing_sub_out,1628415,Dillon Brooks,131.0,Sengun 18' Jump Shot (2 PTS) (Ja. Green 1 AST),false,false,"[1628415, 1630224, 1630578, 1631106, 1641708]"
1,16,140.0,1610612742,DAL,possible_missing_sub_out,1629655,Daniel Gafford,124.0,Thompson 1' Driving Layup (4 PTS) (Washington 1 AST),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,23,213.0,1610612742,DAL,possible_missing_sub_out,1629023,P.J. Washington,135.0,MISS Sengun 2' Cutting Layup Shot,false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,25,226.0,1610612745,HOU,possible_missing_sub_out,1631106,Tari Eason,125.0,Davis 5' Turnaround Hook Shot (4 PTS),false,false,"[1628415, 1630224, 1630578, 1631106, 1641708]"
1,30,265.0,1610612742,DAL,possible_missing_sub_out,202691,Klay Thompson,125.0,MISS Davis 1' Driving Layup,false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,34,283.0,1610612742,DAL,possible_missing_sub_out,202681,Kyrie Irving,123.0,MISS Brooks 12' Pullup Jump Shot,false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,34,283.0,1610612745,HOU,possible_missing_sub_out,1641708,Amen Thompson,128.0,MISS Brooks 12' Pullup Jump Shot,false,false,"[1628415, 1630224, 1630578, 1631106, 1641708]"
1,36,297.0,1610612745,HOU,possible_missing_sub_out,1630224,Jalen Green,127.0,Davis 25' 3PT Pullup Jump Shot (9 PTS),false,false,"[1628415, 1630224, 1630578, 1631106, 1641708]"
1,43,332.0,1610612742,DAL,sub_direction_inverted,1629655,Daniel Gafford,,SUB: Exum FOR Gafford,false,true,"[202681, 202691, 203076, 1629023, 1629655]"
1,44,332.0,1610612742,DAL,sub_direction_inverted,202691,Klay Thompson,,SUB: Christie FOR Thompson,false,true,"[202681, 202691, 203076, 1629023, 1629655]"
1,45,332.0,1610612745,HOU,sub_direction_inverted,1628415,Dillon Brooks,,SUB: Whitmore FOR Brooks,false,true,"[1628415, 1630224, 1630578, 1631106, 1641708]"
1,48,361.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,Whitmore 1' Driving Dunk (2 PTS),false,false,"[1628415, 1630224, 1630578, 1631106, 1641708]"
1,54,410.0,1610612742,DAL,sub_direction_inverted,202681,Kyrie Irving,,SUB: Dinwiddie FOR Irving,false,true,"[202681, 202691, 203076, 1629023, 1629655]"
1,52,410.0,1610612745,HOU,possible_missing_sub_out,1628415,Dillon Brooks,127.0,Ja. Green S.FOUL (P1.T1) (P.Ransom),false,false,"[1628415, 1630224, 1630578, 1631106, 1641708]"
1,57,435.0,1610612742,DAL,missing_sub_in,203915,Spencer Dinwiddie,,Dinwiddie OFF.Foul (P1) (J.Schroeder),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,58,435.0,1610612742,DAL,missing_sub_in,203915,Spencer Dinwiddie,,Dinwiddie Offensive Foul Turnover (P1.T1),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,59,435.0,1610612742,DAL,sub_direction_inverted,1629023,P.J. Washington,,SUB: Marshall FOR Washington,false,true,"[202681, 202691, 203076, 1629023, 1629655]"
1,60,443.0,1610612742,DAL,possible_missing_sub_out,202691,Klay Thompson,120.0,MISS Ja. Green 26' 3PT Jump Shot,false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,62,460.0,1610612742,DAL,missing_sub_in,1630230,Naji Marshall,,Marshall 1' Driving Layup (2 PTS),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,62,460.0,1610612742,DAL,possible_missing_sub_out,1629655,Daniel Gafford,128.0,Marshall 1' Driving Layup (2 PTS),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,67,488.0,1610612742,DAL,missing_sub_in,1630230,Naji Marshall,,Marshall 4' Running Layup (4 PTS) (Exum 1 AST),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,70,496.0,1610612745,HOU,sub_direction_inverted,1631106,Tari Eason,,SUB: Brooks FOR Eason,false,true,"[1630224, 1630578, 1631106, 1641708]"
1,71,496.0,1610612745,HOU,sub_direction_inverted,1630578,Alperen Sengun,,SUB: Adams FOR Sengun,false,true,"[1630224, 1630578, 1631106, 1641708]"
1,72,512.0,1610612742,DAL,possible_missing_sub_out,202681,Kyrie Irving,134.0,Whitmore S.FOUL (P1.T2) (B.Forte),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,72,512.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,Whitmore S.FOUL (P1.T2) (B.Forte),false,false,"[1630224, 1630578, 1631106, 1641708]"
1,79,570.0,1610612742,DAL,missing_sub_in,1631108,Max Christie,,Christie 3PT Running Jump Shot (3 PTS) (Exum 2 AST),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,81,571.0,1610612745,HOU,sub_direction_inverted,1641708,Amen Thompson,,SUB: Tate FOR Thompson,false,true,"[1630224, 1630578, 1631106, 1641708]"
1,82,588.0,1610612745,HOU,missing_sub_in,1630256,Jae'Sean Tate,,MISS Tate 3PT Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
1,85,613.0,1610612742,DAL,missing_sub_in,203957,Dante Exum,,MISS Exum 6' Driving Finger Roll Layup,false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,85,613.0,1610612745,HOU,possible_missing_sub_out,1630578,Alperen Sengun,133.0,MISS Exum 6' Driving Finger Roll Layup,false,false,"[1630224, 1630578, 1631106, 1641708]"
1,86,614.0,1610612745,HOU,missing_sub_in,1630256,Jae'Sean Tate,,Tate REBOUND (Off:0 Def:1),false,false,"[1630224, 1630578, 1631106, 1641708]"
1,87,625.0,1610612745,HOU,missing_sub_in,1628415,Dillon Brooks,,Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST),false,false,"[1630224, 1630578, 1631106, 1641708]"
1,89,651.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,Whitmore REBOUND (Off:0 Def:1),false,false,"[1630224, 1630578, 1631106, 1641708]"
1,90,659.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,MISS Whitmore 3' Driving Floating Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
