flag_type,time,player_id,player_name,team,action_type,idle_seconds,description,resolution,full_details
inactivity_periods,332.0,202681.0,Kyrie Irving,DAL,,172.0,"","","{'time': 332.0, 'player_id': 202681, 'player_name': 'Kyrie Irving', 'team': 'DAL', 'idle_seconds': 172.0, 'last_action_time': 160.0}"
inactivity_periods,332.0,1629023.0,P.J. Washington,DAL,,254.0,"","","{'time': 332.0, 'player_id': 1629023, 'player_name': 'P.J. Washington', 'team': 'DAL', 'idle_seconds': 254.0, 'last_action_time': 78.0}"
inactivity_periods,332.0,1631106.0,Tari Eason,HOU,,231.0,"","","{'time': 332.0, 'player_id': 1631106, 'player_name': 'Tari Eason', 'team': 'HOU', 'idle_seconds': 231.0, 'last_action_time': 101.0}"
inactivity_periods,332.0,1641708.0,Amen Thompson,HOU,,177.0,"","","{'time': 332.0, 'player_id': 1641708, 'player_name': 'Amen Thompson', 'team': 'HOU', 'idle_seconds': 177.0, 'last_action_time': 155.0}"
inactivity_periods,460.0,203957.0,Dante Exum,DAL,,128.0,"","","{'time': 460.0, 'player_id': 203957, 'player_name': 'Dante Exum', 'team': 'DAL', 'idle_seconds': 128.0, 'last_action_time': 332.0}"
inactivity_periods,460.0,1631108.0,Max Christie,DAL,,128.0,"","","{'time': 460.0, 'player_id': 1631108, 'player_name': 'Max Christie', 'team': 'DAL', 'idle_seconds': 128.0, 'last_action_time': 332.0}"
inactivity_periods,460.0,1631106.0,Tari Eason,HOU,,359.0,"","","{'time': 460.0, 'player_id': 1631106, 'player_name': 'Tari Eason', 'team': 'HOU', 'idle_seconds': 359.0, 'last_action_time': 101.0}"
inactivity_periods,588.0,203957.0,Dante Exum,DAL,,256.0,"","","{'time': 588.0, 'player_id': 203957, 'player_name': 'Dante Exum', 'team': 'DAL', 'idle_seconds': 256.0, 'last_action_time': 332.0}"
inactivity_periods,588.0,203915.0,Spencer Dinwiddie,DAL,,153.0,"","","{'time': 588.0, 'player_id': 203915, 'player_name': 'Spencer Dinwiddie', 'team': 'DAL', 'idle_seconds': 153.0, 'last_action_time': 435.0}"
inactivity_periods,683.2,1630224.0,Jalen Green,HOU,,148.20000000000005,"","","{'time': 683.2, 'player_id': 1630224, 'player_name': 'Jalen Green', 'team': 'HOU', 'idle_seconds': 148.20000000000005, 'last_action_time': 535.0}"
missing_sub_ins,747.0,202691.0,Klay Thompson,DAL,1.0,,Thompson 2' Driving Finger Roll Layup (6 PTS) (Christie 1 AST),FIRST_ACTION_INJECTION,"{'time': 747.0, 'player_id': 202691, 'player_name': 'Klay Thompson', 'team': 'DAL', 'action_type': 1, 'description': ""Thompson 2' Driving Finger Roll Layup (6 PTS) (Christie 1 AST)"", 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,747.0,,,DAL,,,"","","{'time': 747.0, 'team': 'DAL', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,747.0,202691.0,Klay Thompson,DAL,,,"","","{'time': 747.0, 'player_id': 202691, 'player_name': 'Klay Thompson', 'team': 'DAL', 'action': ""Thompson 2' Driving Finger Roll Layup (6 PTS) (Christie 1 AST)""}"
auto_out_events,747.0,1630230.0,Naji Marshall,DAL,,,"","","{'time': 747.0, 'player_id': 1630230, 'player_name': 'Naji Marshall', 'team': 'DAL', 'idle_time': 68.60000000000002, 'reason': 'INACTIVITY_AUTO_OUT'}"
missing_sub_ins,777.0,1631106.0,Tari Eason,HOU,2.0,,MISS Eason 5' Driving Floating Jump Shot,FIRST_ACTION_INJECTION,"{'time': 777.0, 'player_id': 1631106, 'player_name': 'Tari Eason', 'team': 'HOU', 'action_type': 2, 'description': ""MISS Eason 5' Driving Floating Jump Shot"", 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,777.0,,,HOU,,,"","","{'time': 777.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,777.0,1631106.0,Tari Eason,HOU,,,"","","{'time': 777.0, 'player_id': 1631106, 'player_name': 'Tari Eason', 'team': 'HOU', 'action': ""MISS Eason 5' Driving Floating Jump Shot""}"
auto_out_events,777.0,1630256.0,Jae'Sean Tate,HOU,,,"","","{'time': 777.0, 'player_id': 1630256, 'player_name': ""Jae'Sean Tate"", 'team': 'HOU', 'idle_time': 163.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
missing_sub_ins,779.0,1642263.0,Reed Sheppard,HOU,4.0,,Sheppard REBOUND (Off:1 Def:0),FIRST_ACTION_INJECTION,"{'time': 779.0, 'player_id': 1642263, 'player_name': 'Reed Sheppard', 'team': 'HOU', 'action_type': 4, 'description': 'Sheppard REBOUND (Off:1 Def:0)', 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,779.0,,,HOU,,,"","","{'time': 779.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
