period,pbp_order,abs_time,team_id,team_abbrev,flag_type,player_id,player_name,idle_seconds,description
1,42,332.0,1610612742,DAL,inactivity_periods,202681,Kyrie Irving,172.0,Player inactive for 172.0s (threshold: 120s)
1,42,332.0,1610612742,DAL,inactivity_periods,1629023,P.J. Washington,254.0,Player inactive for 254.0s (threshold: 120s)
1,42,332.0,1610612745,HOU,inactivity_periods,1631106,Tari Eason,231.0,Player inactive for 231.0s (threshold: 120s)
1,42,332.0,1610612745,HOU,inactivity_periods,1641708,Amen Thompson,177.0,Player inactive for 177.0s (threshold: 120s)
1,62,460.0,1610612742,DAL,inactivity_periods,203957,Dante Exum,128.0,Player inactive for 128.0s (threshold: 120s)
1,62,460.0,1610612742,DAL,inactivity_periods,1631108,Max Christie,128.0,Player inactive for 128.0s (threshold: 120s)
1,62,460.0,1610612745,HOU,inactivity_periods,1631106,Tari Eason,359.0,Player inactive for 359.0s (threshold: 120s)
1,82,588.0,1610612742,DAL,inactivity_periods,203957,Dante Exum,256.0,Player inactive for 256.0s (threshold: 120s)
1,82,588.0,1610612742,DAL,inactivity_periods,203915,Spencer Dinwiddie,153.0,Player inactive for 153.0s (threshold: 120s)
1,102,683.2,1610612745,HOU,inactivity_periods,1630224,Jalen Green,148.2,Player inactive for 148.2s (threshold: 120s)
2,113,747.0,1610612742,DAL,missing_sub_in,202691,Klay Thompson,,Thompson 2' Driving Finger Roll Layup (6 PTS) (Christie 1 AST)
2,116,777.0,1610612745,HOU,missing_sub_in,1631106,Tari Eason,,MISS Eason 5' Driving Floating Jump Shot
2,117,779.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,Sheppard REBOUND (Off:1 Def:0)
2,122,795.0,1610612745,HOU,inactivity_periods,1641715,Cam Whitmore,136.0,Player inactive for 136.0s (threshold: 120s)
2,134,839.0,1610612745,HOU,missing_sub_in,1630256,Jae'Sean Tate,,MISS Tate 4' Driving Dunk
2,142,871.0,1610612742,DAL,inactivity_periods,1631108,Max Christie,141.0,Player inactive for 141.0s (threshold: 120s)
2,142,871.0,1610612742,DAL,inactivity_periods,203957,Dante Exum,166.8,Player inactive for 166.8s (threshold: 120s)
2,142,871.0,1610612745,HOU,inactivity_periods,1628415,Dillon Brooks,169.3,Player inactive for 169.3s (threshold: 120s)
2,143,874.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,MISS Whitmore 25' 3PT Running Jump Shot
2,162,918.0,1610612742,DAL,inactivity_periods,1631108,Max Christie,188.0,Player inactive for 188.0s (threshold: 120s)
2,162,918.0,1610612742,DAL,inactivity_periods,203957,Dante Exum,213.8,Player inactive for 213.8s (threshold: 120s)
2,162,918.0,1610612745,HOU,inactivity_periods,1628415,Dillon Brooks,216.3,Player inactive for 216.3s (threshold: 120s)
2,166,944.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,Sheppard S.FOUL (P1.T2) (J.Schroeder)
2,171,962.0,1610612742,DAL,missing_sub_in,1629023,P.J. Washington,,Washington S.FOUL (P1.PN) (J.Schroeder)
2,182,1018.0,1610612742,DAL,inactivity_periods,202681,Kyrie Irving,151.0,Player inactive for 151.0s (threshold: 120s)
2,202,1153.0,1610612745,HOU,inactivity_periods,1641708,Amen Thompson,221.0,Player inactive for 221.0s (threshold: 120s)
2,202,1153.0,1610612745,HOU,inactivity_periods,1630224,Jalen Green,135.0,Player inactive for 135.0s (threshold: 120s)
2,202,1153.0,1610612745,HOU,inactivity_periods,1630578,Alperen Sengun,235.0,Player inactive for 235.0s (threshold: 120s)
2,202,1153.0,1610612745,HOU,inactivity_periods,1628415,Dillon Brooks,191.0,Player inactive for 191.0s (threshold: 120s)
2,222,1266.0,1610612742,DAL,inactivity_periods,203915,Spencer Dinwiddie,144.0,Player inactive for 144.0s (threshold: 120s)
2,222,1266.0,1610612745,HOU,inactivity_periods,1641708,Amen Thompson,334.0,Player inactive for 334.0s (threshold: 120s)
2,242,1403.9,1610612742,DAL,inactivity_periods,1630230,Naji Marshall,250.9,Player inactive for 250.9s (threshold: 120s)
2,242,1403.9,1610612742,DAL,inactivity_periods,202681,Kyrie Irving,138.9,Player inactive for 138.9s (threshold: 120s)
2,242,1403.9,1610612745,HOU,inactivity_periods,1631106,Tari Eason,206.9,Player inactive for 206.9s (threshold: 120s)
2,242,1403.9,1610612745,HOU,inactivity_periods,1628415,Dillon Brooks,222.9,Player inactive for 222.9s (threshold: 120s)
3,256,1479.0,1610612745,HOU,missing_sub_in,203500,Steven Adams,,Adams REBOUND (Off:3 Def:2)
3,260,1538.0,1610612742,DAL,missing_sub_in,1631108,Max Christie,,Christie 16' Step Back Jump Shot (10 PTS) (Davis 6 AST)
3,262,1551.0,1610612742,DAL,inactivity_periods,203076,Anthony Davis,160.7,Player inactive for 160.7s (threshold: 120s)
3,262,1551.0,1610612742,DAL,inactivity_periods,1629023,P.J. Washington,181.0,Player inactive for 181.0s (threshold: 120s)
3,262,1551.0,1610612745,HOU,inactivity_periods,1630224,Jalen Green,215.0,Player inactive for 215.0s (threshold: 120s)
3,271,1606.0,1610612745,HOU,missing_sub_in,1628415,Dillon Brooks,,MISS Brooks 9' Driving Floating Jump Shot
3,282,1670.0,1610612742,DAL,inactivity_periods,1629023,P.J. Washington,300.0,Player inactive for 300.0s (threshold: 120s)
3,292,1761.0,1610612742,DAL,missing_sub_in,202681,Kyrie Irving,,MISS Irving 3' Driving Finger Roll Layup
3,302,1819.0,1610612742,DAL,inactivity_periods,203076,Anthony Davis,130.0,Player inactive for 130.0s (threshold: 120s)
3,302,1819.0,1610612742,DAL,inactivity_periods,1631108,Max Christie,168.0,Player inactive for 168.0s (threshold: 120s)
3,322,1959.0,1610612742,DAL,inactivity_periods,203957,Dante Exum,258.0,Player inactive for 258.0s (threshold: 120s)
3,322,1959.0,1610612742,DAL,inactivity_periods,203915,Spencer Dinwiddie,140.0,Player inactive for 140.0s (threshold: 120s)
3,322,1959.0,1610612745,HOU,inactivity_periods,1630224,Jalen Green,193.0,Player inactive for 193.0s (threshold: 120s)
3,342,2063.0,1610612742,DAL,inactivity_periods,1630230,Naji Marshall,131.0,Player inactive for 131.0s (threshold: 120s)
3,342,2063.0,1610612742,DAL,inactivity_periods,203957,Dante Exum,362.0,Player inactive for 362.0s (threshold: 120s)
3,342,2063.0,1610612745,HOU,inactivity_periods,1631106,Tari Eason,148.0,Player inactive for 148.0s (threshold: 120s)
3,342,2063.0,1610612745,HOU,inactivity_periods,1628415,Dillon Brooks,174.0,Player inactive for 174.0s (threshold: 120s)
4,360,2206.0,1610612745,HOU,missing_sub_in,203500,Steven Adams,,Adams REBOUND (Off:7 Def:3)
