period,pbp_order,abs_time,team_id,team_abbrev,lineup_size,lineup_player_ids_json,lineup_player_names_json,event_desc
1,43,332.0,1610612742,DAL,5,"[202681, 202691, 203076, 203957, 1629023]","[""Anthony Davis"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",SUB: Exum FOR Gafford
1,43,332.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Exum FOR Gafford
1,44,332.0,1610612742,DAL,5,"[202681, 203076, 203957, 1629023, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Max Christie"", ""P.J. Washington""]",SUB: Christie FOR Thompson
1,44,332.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Christie FOR Thompson
1,45,332.0,1610612742,DAL,5,"[202681, 203076, 203957, 1629023, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Max Christie"", ""P.J. Washington""]",SUB: Whitmore FOR Brooks
1,45,332.0,1610612745,HOU,5,"[1630224, 1630578, 1631106, 1641708, 1641715]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Jalen Green"", ""Tari Eason""]",SUB: Whitmore FOR Brooks
1,54,410.0,1610612742,DAL,5,"[203076, 203915, 203957, 1629023, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Max Christie"", ""P.J. Washington"", ""Spencer Dinwiddie""]",SUB: Dinwiddie FOR Irving
1,54,410.0,1610612745,HOU,5,"[1630224, 1630578, 1631106, 1641708, 1641715]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Jalen Green"", ""Tari Eason""]",SUB: Dinwiddie FOR Irving
1,59,435.0,1610612742,DAL,5,"[203076, 203915, 203957, 1630230, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Marshall FOR Washington
1,59,435.0,1610612745,HOU,5,"[1630224, 1630578, 1631106, 1641708, 1641715]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Jalen Green"", ""Tari Eason""]",SUB: Marshall FOR Washington
1,70,496.0,1610612742,DAL,5,"[203076, 203915, 203957, 1630230, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Brooks FOR Eason
1,70,496.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1641708, 1641715]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Dillon Brooks"", ""Jalen Green""]",SUB: Brooks FOR Eason
1,71,496.0,1610612742,DAL,5,"[203076, 203915, 203957, 1630230, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Adams FOR Sengun
