method,team_id,team_abbrev,lineup_size,lineup_player_ids_json,occurrences,lineup_player_names_json
enhanced,1610612742,DAL,5,"[202681, 202691, 203957, 1629655, 1631108]",10,"[""Kyrie Irving"", ""Klay Thompson"", ""Dante Exum"", ""Daniel Gafford"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[202681, 203915, 1629655, 1630230, 1631108]",8,"[""Kyrie Irving"", ""Spencer Dinwiddie"", ""Daniel Gafford"", ""Naji Marshall"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[202681, 203076, 203915, 203957, 1630230]",5,"[""Kyrie Irving"", ""Anthony Davis"", ""Spencer Dinwiddie"", ""Dante Exum"", ""Naji Marshall""]"
enhanced,1610612742,DAL,5,"[202681, 203957, 1629655, 1630230, 1631108]",5,"[""Kyrie Irving"", ""Dante Exum"", ""Daniel Gafford"", ""Naji Marshall"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[203076, 203915, 203957, 1630230, 1631108]",5,"[""Anthony Davis"", ""Spencer Dinwiddie"", ""Dante Exum"", ""Naji Marshall"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[202681, 202691, 203076, 203915, 1629023]",3,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""Spencer Dinwiddie"", ""P.J. Washington""]"
enhanced,1610612742,DAL,5,"[202681, 202691, 1629655, 1630230, 1631108]",2,"[""Kyrie Irving"", ""Klay Thompson"", ""Daniel Gafford"", ""Naji Marshall"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[202681, 202691, 203076, 203957, 1631108]",2,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""Dante Exum"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[202681, 202691, 203915, 1629655, 1631108]",2,"[""Kyrie Irving"", ""Klay Thompson"", ""Spencer Dinwiddie"", ""Daniel Gafford"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[202681, 203076, 203957, 1629023, 1631108]",2,"[""Kyrie Irving"", ""Anthony Davis"", ""Dante Exum"", ""P.J. Washington"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[202681, 203076, 203957, 1630230, 1631108]",2,"[""Kyrie Irving"", ""Anthony Davis"", ""Dante Exum"", ""Naji Marshall"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[202691, 203076, 1629023, 1629655, 1631108]",2,"[""Klay Thompson"", ""Anthony Davis"", ""P.J. Washington"", ""Daniel Gafford"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[203957, 1630230, 1630556, 1631108, 1641765]",2,"[""Dante Exum"", ""Naji Marshall"", ""Kessler Edwards"", ""Max Christie"", ""Olivier-Maxence Prosper""]"
enhanced,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]",1,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""P.J. Washington"", ""Daniel Gafford""]"
enhanced,1610612742,DAL,5,"[202681, 202691, 203076, 203915, 1630230]",1,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""Spencer Dinwiddie"", ""Naji Marshall""]"
enhanced,1610612742,DAL,5,"[202681, 202691, 203076, 203915, 203957]",1,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""Spencer Dinwiddie"", ""Dante Exum""]"
enhanced,1610612742,DAL,5,"[202681, 202691, 203076, 203957, 1629023]",1,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""Dante Exum"", ""P.J. Washington""]"
enhanced,1610612742,DAL,5,"[202681, 203076, 203957, 1629023, 1630230]",1,"[""Kyrie Irving"", ""Anthony Davis"", ""Dante Exum"", ""P.J. Washington"", ""Naji Marshall""]"
enhanced,1610612742,DAL,5,"[202691, 203076, 1629023, 1630230, 1631108]",1,"[""Klay Thompson"", ""Anthony Davis"", ""P.J. Washington"", ""Naji Marshall"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[203076, 203915, 1629655, 1630230, 1631108]",1,"[""Anthony Davis"", ""Spencer Dinwiddie"", ""Daniel Gafford"", ""Naji Marshall"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[203076, 203915, 203957, 1629023, 1631108]",1,"[""Anthony Davis"", ""Spencer Dinwiddie"", ""Dante Exum"", ""P.J. Washington"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[203076, 203957, 1629023, 1630230, 1631108]",1,"[""Anthony Davis"", ""Dante Exum"", ""P.J. Washington"", ""Naji Marshall"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[203915, 203957, 1629655, 1630230, 1631108]",1,"[""Spencer Dinwiddie"", ""Dante Exum"", ""Daniel Gafford"", ""Naji Marshall"", ""Max Christie""]"
enhanced,1610612742,DAL,5,"[203957, 1629655, 1630230, 1631108, 1641765]",1,"[""Dante Exum"", ""Daniel Gafford"", ""Naji Marshall"", ""Max Christie"", ""Olivier-Maxence Prosper""]"
enhanced,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]",11,"[""Dillon Brooks"", ""Jalen Green"", ""Alperen Sengun"", ""Tari Eason"", ""Amen Thompson""]"
enhanced,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1641708]",8,"[""Steven Adams"", ""Dillon Brooks"", ""Jalen Green"", ""Alperen Sengun"", ""Amen Thompson""]"
enhanced,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641715]",4,"[""Dillon Brooks"", ""Jalen Green"", ""Alperen Sengun"", ""Tari Eason"", ""Cam Whitmore""]"
enhanced,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1641708, 1641715]",4,"[""Dillon Brooks"", ""Jalen Green"", ""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore""]"
enhanced,1610612745,HOU,5,"[1630224, 1630578, 1631106, 1641708, 1641715]",4,"[""Jalen Green"", ""Alperen Sengun"", ""Tari Eason"", ""Amen Thompson"", ""Cam Whitmore""]"
enhanced,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630256, 1641715]",4,"[""Steven Adams"", ""Dillon Brooks"", ""Jalen Green"", ""Jae'Sean Tate"", ""Cam Whitmore""]"
