method,team_id,team_abbrev,lineup_size,lineup_player_ids_json,occurrences,lineup_player_names_json
traditional,1610612742,DAL,4,"[202691, 203076, 203915, 1629023]",115,"[""Klay Thompson"", ""Anthony Davis"", ""Spencer Dinwiddie"", ""P.J. Washington""]"
traditional,1610612742,DAL,4,"[202691, 203076, 203957, 1629023]",93,"[""Klay Thompson"", ""Anthony Davis"", ""Dante Exum"", ""P.J. Washington""]"
traditional,1610612742,DAL,4,"[202691, 1629023, 1629655, 1631108]",55,"[""Klay Thompson"", ""P.J. Washington"", ""Daniel Gafford"", ""Max Christie""]"
traditional,1610612742,DAL,4,"[202691, 203915, 1629023, 1629655]",23,"[""Klay Thompson"", ""Spencer Dinwiddie"", ""P.J. Washington"", ""Daniel Gafford""]"
traditional,1610612742,DAL,4,"[202691, 203915, 1629655, 1631108]",15,"[""Klay Thompson"", ""Spencer Dinwiddie"", ""Daniel Gafford"", ""Max Christie""]"
traditional,1610612742,DAL,4,"[202681, 202691, 203076, 1629023]",1,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""P.J. Washington""]"
traditional,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]",162,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""P.J. Washington"", ""Daniel Gafford""]"
traditional,1610612742,DAL,5,"[202681, 202691, 203076, 203915, 1629023]",1,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""Spencer Dinwiddie"", ""P.J. Washington""]"
traditional,1610612742,DAL,5,"[202681, 202691, 203076, 203957, 1629023]",1,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""Dante Exum"", ""P.J. Washington""]"
traditional,1610612742,DAL,6,"[202681, 202691, 203076, 1629023, 1629655, 1631108]",30,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""P.J. Washington"", ""Daniel Gafford"", ""Max Christie""]"
traditional,1610612742,DAL,6,"[202681, 202691, 203076, 203915, 1629023, 1629655]",12,"[""Kyrie Irving"", ""Klay Thompson"", ""Anthony Davis"", ""Spencer Dinwiddie"", ""P.J. Washington"", ""Daniel Gafford""]"
traditional,1610612745,HOU,3,"[203500, 1628988, 1641715]",40,"[""Steven Adams"", ""Aaron Holiday"", ""Cam Whitmore""]"
traditional,1610612745,HOU,3,"[1628988, 1631106, 1641715]",24,"[""Aaron Holiday"", ""Tari Eason"", ""Cam Whitmore""]"
traditional,1610612745,HOU,3,"[1628988, 1641708, 1641715]",23,"[""Aaron Holiday"", ""Amen Thompson"", ""Cam Whitmore""]"
traditional,1610612745,HOU,3,"[1628988, 1631106, 1641708]",1,"[""Aaron Holiday"", ""Tari Eason"", ""Amen Thompson""]"
traditional,1610612745,HOU,4,"[1630224, 1630578, 1631106, 1641708]",78,"[""Jalen Green"", ""Alperen Sengun"", ""Tari Eason"", ""Amen Thompson""]"
traditional,1610612745,HOU,4,"[203500, 1630256, 1641715, 1642263]",46,"[""Steven Adams"", ""Jae'Sean Tate"", ""Cam Whitmore"", ""Reed Sheppard""]"
traditional,1610612745,HOU,4,"[203500, 1630256, 1631106, 1641715]",30,"[""Steven Adams"", ""Jae'Sean Tate"", ""Tari Eason"", ""Cam Whitmore""]"
traditional,1610612745,HOU,4,"[203500, 1628988, 1631106, 1641708]",26,"[""Steven Adams"", ""Aaron Holiday"", ""Tari Eason"", ""Amen Thompson""]"
traditional,1610612745,HOU,4,"[203500, 1630224, 1630256, 1631106]",25,"[""Steven Adams"", ""Jalen Green"", ""Jae'Sean Tate"", ""Tari Eason""]"
traditional,1610612745,HOU,4,"[1630224, 1630256, 1631106, 1641708]",1,"[""Jalen Green"", ""Jae'Sean Tate"", ""Tari Eason"", ""Amen Thompson""]"
traditional,1610612745,HOU,4,"[203500, 1628415, 1628988, 1641708]",1,"[""Steven Adams"", ""Dillon Brooks"", ""Aaron Holiday"", ""Amen Thompson""]"
traditional,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]",135,"[""Dillon Brooks"", ""Jalen Green"", ""Alperen Sengun"", ""Tari Eason"", ""Amen Thompson""]"
traditional,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1641708]",66,"[""Steven Adams"", ""Dillon Brooks"", ""Jalen Green"", ""Alperen Sengun"", ""Amen Thompson""]"
traditional,1610612745,HOU,5,"[203500, 1628415, 1628988, 1630578, 1641708]",11,"[""Steven Adams"", ""Dillon Brooks"", ""Aaron Holiday"", ""Alperen Sengun"", ""Amen Thompson""]"
traditional,1610612745,HOU,5,"[203500, 1630224, 1630256, 1631106, 1641715]",1,"[""Steven Adams"", ""Jalen Green"", ""Jae'Sean Tate"", ""Tari Eason"", ""Cam Whitmore""]"
